rank	lemma	pos	count	pct	cum_pct
551	помощь	NOUN	2330	0.0179	67.8641
552	рад	ADJS	2324	0.0178	67.8819
553	поздравлять	VERB	2324	0.0178	67.8998
554	чувствовать	VERB	2324	0.0178	67.9176
555	оставаться	VERB	2312	0.0177	67.9353
556	голос	NOUN	2312	0.0177	67.9531
557	представлять	VERB	2312	0.0177	67.9708
558	несколько	ADVB	2310	0.0177	67.9886
559	жаль	PRED	2306	0.0177	68.0063
560	немедленно	ADVB	2301	0.0177	68.0239
561	лошадь	NOUN	2294	0.0176	68.0416
562	кроме	PREP	2289	0.0176	68.0591
563	видно	CONJ	2280	0.0175	68.0766
564	й	X	2280	0.0175	68.0941
565	чай	NOUN	2280	0.0175	68.1116
566	хватать	VERB	2278	0.0175	68.1291
567	сестра	NOUN	2271	0.0174	68.1466
568	кричать	VERB	2269	0.0174	68.1640
569	план	NOUN	2263	0.0174	68.1814
570	немой	ADJS	2259	0.0173	68.1987
571	здоровье	NOUN	2241	0.0172	68.2159
572	далеко	ADVB	2240	0.0172	68.2331
573	закон	NOUN	2235	0.0172	68.2503
574	слишком	ADVB	2234	0.0172	68.2674
575	милиция	NOUN	2233	0.0171	68.2845
576	ваня	NOUN	2232	0.0171	68.3017
577	небо	NOUN	2229	0.0171	68.3188
578	сей	ADJF	2228	0.0171	68.3359
579	завод	NOUN	2226	0.0171	68.3530
580	столько	ADVB	2217	0.0170	68.3700
581	нету	PRED	2213	0.0170	68.3870
582	документ	NOUN	2211	0.0170	68.4040
583	предлагать	VERB	2201	0.0169	68.4209
584	алло	INTJ	2193	0.0168	68.4377
585	хлеб	NOUN	2189	0.0168	68.4545
586	выпить	VERB	2177	0.0167	68.4712
587	тётя	NOUN	2176	0.0167	68.4879
588	рядом	ADVB	2174	0.0167	68.5046
589	постоять	VERB	2174	0.0167	68.5213
590	начинать	VERB	2168	0.0166	68.5380
591	родитель	NOUN	2168	0.0166	68.5546
592	видеть	INFN	2166	0.0166	68.5712
593	мысль	NOUN	2156	0.0166	68.5878
594	мистер	NOUN	2154	0.0165	68.6043
595	вася	NOUN	2152	0.0165	68.6208
596	весёлый	ADJF	2139	0.0164	68.6373
597	поле	NOUN	2136	0.0164	68.6537
598	сынок	NOUN	2136	0.0164	68.6700
599	прочить	VERB	2132	0.0164	68.6864
600	немного	ADVB	2129	0.0163	68.7028
